experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,status,report_status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A4,DASCMOP7_difficulty7,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.37356919875130074,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.06971904266389178,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.2278876170655567,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.31321540062434966,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.10093652445369407,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DASCMOP7_difficulty7,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.3548387096774194,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.3173777315296566,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.2445369406867846,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.05098855359001041,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.696149843912591,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.6337148803329865,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.7419354838709677,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.45681581685744016,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.2570239334027055,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.2695109261186264,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,1.0,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.23204994797086367,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG4,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.6545265348595213,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.19458896982310095,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.20915712799167535,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.44016649323621226,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.4214360041623309,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.044745057232049947,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,WFG9,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.5691987513007284,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.3631633714880333,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.013527575442247659,reference_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.3881373569198751,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.16545265348595214,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.331945889698231,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.5234131113423517,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,hv,higher,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.5920915712799167,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,igd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.4630593132154006,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,igd_plus,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.43184183142559834,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,gd,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.1571279916753382,comparison_better,test_ok,usable_descriptive,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,spread,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,-0.6462018730489074,comparison_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,time_s,lower,MOSADE,MOSADE_no_restart,cliffs_delta_comparison_minus_reference,0.3215400624349636,reference_better,test_ok,usable_statistical,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
